"mensaje","nivel_estres"
"Me siento agobiado con tantas tareas últimamente","alto"
"Hay mucho que hacer y me preocupa bastante","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No puedo dormir por los trabajos demasiado","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Me siento seguro de mis conocimientos hoy","bajo"
"No puedo dormir por los trabajos mucho","alto"
"Me siento un poco estresado hoy demasiado","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"No puedo dormir por los trabajos un poco","alto"
"Hoy estoy un poco nervioso mucho","medio"
"Estoy motivado para la clase de hoy demasiado","bajo"
"No me alcanza el tiempo para estudiar mucho","alto"
"No estoy tranquilo del todo, pero lo manejo mucho","medio"
"Estoy relajado hoy bastante","bajo"
"No sé cómo cumplir con todas las entregas últimamente","alto"
"Me siento cansado de tanto estudiar hoy","medio"
"No tengo preocupaciones importantes bastante","bajo"
"Estoy estresado por la carga académica un poco","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Estoy calmado y concentrado bastante","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Hoy me siento tranquilo y contento bastante","bajo"
"Tengo miedo de reprobar los cursos hoy","alto"
"Hay mucho que hacer y me preocupa últimamente","medio"
"Estoy calmado y concentrado demasiado","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Hoy estoy un poco nervioso bastante","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"Siento que todo se me viene encima demasiado","alto"
"No sé cómo organizarme con tanto estudio bastante","medio"
"Estoy calmado y concentrado hoy","bajo"
"No me alcanza el tiempo para estudiar últimamente","alto"
"No estoy tranquilo del todo, pero lo manejo demasiado","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"No estoy tranquilo del todo, pero lo manejo hoy","medio"
"Disfruté mucho mi fin de semana demasiado","bajo"
"Tengo miedo de reprobar los cursos mucho","alto"
"Me siento un poco estresado hoy bastante","medio"
"Me siento feliz con mis resultados mucho","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"Me siento un poco estresado hoy hoy","medio"
"Estoy relajado hoy un poco","bajo"
"Estoy muy ansioso por los exámenes hoy","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Disfruté mucho mi fin de semana últimamente","bajo"
"Estoy muy ansioso por los exámenes demasiado","alto"
"Hoy estoy un poco nervioso un poco","medio"
"Disfruté mucho mi fin de semana bastante","bajo"
"No me alcanza el tiempo para estudiar demasiado","alto"
"Estoy un poco agobiado pero me esfuerzo demasiado","medio"
"Todo va bien hoy bastante","bajo"
"Estoy preocupado por el futuro bastante","alto"
"Me siento cansado de tanto estudiar un poco","medio"
"Estoy motivado para la clase de hoy un poco","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento un poco estresado hoy mucho","medio"
"Disfruté mucho mi fin de semana un poco","bajo"
"No me alcanza el tiempo para estudiar bastante","alto"
"Tengo varias tareas pero creo que puedo manejarlas últimamente","medio"
"Me siento seguro de mis conocimientos un poco","bajo"
"Me siento presionado por mis profesores hoy","alto"
"Me siento un poco estresado hoy últimamente","medio"
"Todo va bien hoy mucho","bajo"
"No me alcanza el tiempo para estudiar un poco","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Tengo miedo de reprobar los cursos un poco","alto"
"Hoy estoy un poco nervioso hoy","medio"
"Estoy motivado para la clase de hoy hoy","bajo"
"Me siento agobiado con tantas tareas demasiado","alto"
"Siento presión por entregar todo a tiempo bastante","medio"
"No tengo preocupaciones importantes demasiado","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Me siento cansado pero sigo adelante hoy","medio"
"Estoy calmado y concentrado últimamente","bajo"
"Me siento presionado por mis profesores demasiado","alto"
"No sé cómo organizarme con tanto estudio mucho","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"No me alcanza el tiempo para estudiar hoy","alto"
"No sé cómo organizarme con tanto estudio demasiado","medio"
"Disfruté mucho mi fin de semana mucho","bajo"
"Siento que todo se me viene encima demasiado","alto"
"Me siento un poco estresado hoy un poco","medio"
"Disfruto estudiar cuando puedo organizarme bastante","bajo"
"Me siento agobiado con tantas tareas mucho","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Hoy me siento tranquilo y contento mucho","bajo"
"Tengo miedo de reprobar los cursos bastante","alto"
"Hay mucho que hacer y me preocupa hoy","medio"
"Todo va bien hoy últimamente","bajo"
"Siento que todo se me viene encima mucho","alto"
"Me siento cansado pero sigo adelante bastante","medio"
"Hoy me siento tranquilo y contento demasiado","bajo"
"Siento que todo se me viene encima últimamente","alto"
"Estoy un poco agobiado pero me esfuerzo bastante","medio"
"Me siento feliz con mis resultados últimamente","bajo"
"No puedo dormir por los trabajos hoy","alto"
"Siento presión por entregar todo a tiempo hoy","medio"
"Me siento seguro de mis conocimientos demasiado","bajo"
